Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
0.0299892 0 0.999641 2.72972e-06 0.0809007 0.00124125 0.00100468
0.0599783 0 0.999642 2.74118e-06 0.0812622 0.00124179 0.00101201
0.0899676 0 0.999643 2.75269e-06 0.0816251 0.00124233 0.00101938
0.119957 0 0.999644 2.76424e-06 0.0819893 0.00124288 0.00102681
0.149946 0 0.999645 2.77584e-06 0.0823549 0.00124342 0.00103428
0.179935 0 0.999645 2.78747e-06 0.0827219 0.00124397 0.00104181
0.209925 0 0.999646 2.79916e-06 0.0830903 0.00124451 0.00104938
0.239914 0 0.999647 2.81088e-06 0.08346 0.00124506 0.001057
0.269903 0 0.999648 2.82265e-06 0.0838312 0.00124561 0.00106468
0.299893 0 0.999649 2.83446e-06 0.0842038 0.00124616 0.0010724
0.329882 0 0.999649 2.84631e-06 0.0845777 0.00124671 0.00108018
0.359871 0 0.99965 2.85821e-06 0.0849531 0.00124726 0.001088
0.389861 0 0.999651 2.87015e-06 0.0853299 0.00124781 0.00109588
0.41985 0 0.999652 2.88214e-06 0.0857081 0.00124836 0.00110381
0.44984 0 0.999652 2.89417e-06 0.0860877 0.00124892 0.00111179
0.479829 0 0.999653 2.90624e-06 0.0864688 0.00124947 0.00111983
0.509819 0 0.999654 2.91836e-06 0.0868513 0.00125003 0.00112791
0.539808 0 0.999655 2.93053e-06 0.0872352 0.00125058 0.00113605
0.569798 0 0.999656 2.94274e-06 0.0876205 0.00125114 0.00114425
0.599788 0 0.999656 2.95499e-06 0.0880073 0.0012517 0.00115249
0.629777 0 0.999657 2.96729e-06 0.0883955 0.00125226 0.00116079
0.659767 0 0.999658 2.97963e-06 0.0887852 0.00125282 0.00116915
0.689757 0 0.999659 2.99202e-06 0.0891763 0.00125338 0.00117756
0.719746 0 0.999659 3.00446e-06 0.0895689 0.00125394 0.00118602
0.749736 0 0.99966 3.01694e-06 0.0899629 0.0012545 0.00119454
