1 0.904818 0.997152 1
1 0.890766 0.994549 1
1 0.890433 0.998384 1
1 0.899772 0.997286 1
1 0.892136 0.979612 1
1 0.891862 0.994322 1
1 0.888689 0.994084 1
1 0.87932 0.986878 1
1 0.897417 0.988774 1
1 0.8967 0.999207 1
1 0.897318 0.980638 1
1 0.886991 1 1
1 0.897836 0.992366 1
1 0.891723 0.99353 1
1 0.891034 0.989035 1
1 0.893965 1 1
1 0.904002 0.999523 1
1 0.888398 0.990885 1
1 0.89009 1 1
1 0.885935 0.979606 1
1 0.89813 0.998238 1
1 0.881762 0.988262 1
1 0.893405 0.998382 1
1 0.905657 0.993764 1
1 0.88192 0.983182 1
1 0.887472 0.981931 1
1 0.889652 1 1
1 0.895398 0.990902 1
1 0.884363 0.992011 1
1 0.904781 0.999962 1
1 0.890979 0.993959 1
1 0.886115 1 1
0.87932 0.971369
