Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
3.98675e-07 0 1.35134e-05 2.24193e-07 2.20702e-07 0.798893 0.999923
8.22796e-07 0 1.43617e-05 2.24354e-07 2.20581e-07 0.800398 0.999923
1.27385e-06 0 1.52596e-05 2.24516e-07 2.20463e-07 0.801895 0.999924
1.7534e-06 0 1.62098e-05 2.24679e-07 2.20345e-07 0.803384 0.999924
2.2631e-06 0 1.7215e-05 2.24843e-07 2.20229e-07 0.804865 0.999925
2.8047e-06 0 1.82782e-05 2.25008e-07 2.20114e-07 0.806338 0.999925
3.38002e-06 0 1.94024e-05 2.25174e-07 2.2e-07 0.807802 0.999926
3.99099e-06 0 2.0591e-05 2.25341e-07 2.19888e-07 0.809259 0.999926
4.63964e-06 0 2.18472e-05 2.25509e-07 2.19777e-07 0.810707 0.999927
5.3281e-06 0 2.31746e-05 2.25678e-07 2.19667e-07 0.812147 0.999927
6.05864e-06 0 2.4577e-05 2.25848e-07 2.19559e-07 0.813579 0.999928
6.8336e-06 0 2.60581e-05 2.26018e-07 2.19452e-07 0.815003 0.999928
7.65548e-06 0 2.76221e-05 2.2619e-07 2.19346e-07 0.816418 0.999929
8.52688e-06 0 2.92732e-05 2.26363e-07 2.19241e-07 0.817826 0.999929
9.45056e-06 0 3.10158e-05 2.26536e-07 2.19138e-07 0.819225 0.99993
1.04294e-05 0 3.28546e-05 2.26711e-07 2.19035e-07 0.820616 0.99993
1.14664e-05 0 3.47946e-05 2.26886e-07 2.18934e-07 0.821999 0.99993
1.25648e-05 0 3.68406e-05 2.27063e-07 2.18835e-07 0.823374 0.999931
1.3728e-05 0 3.89982e-05 2.2724e-07 2.18736e-07 0.824741 0.999931
1.49593e-05 0 4.12727e-05 2.27418e-07 2.18638e-07 0.8261 0.999932
1.62626e-05 0 4.36701e-05 2.27598e-07 2.18542e-07 0.82745 0.999932
1.76417e-05 0 4.61963e-05 2.27778e-07 2.18447e-07 0.828793 0.999933
1.91005e-05 0 4.88578e-05 2.27959e-07 2.18353e-07 0.830127 0.999933
2.06435e-05 0 5.16611e-05 2.28141e-07 2.1826e-07 0.831454 0.999934
2.22751e-05 0 5.46131e-05 2.28324e-07 2.18168e-07 0.832772 0.999934
2.39999e-05 0 5.7721e-05 2.28507e-07 2.18078e-07 0.834082 0.999934
2.58228e-05 0 6.09924e-05 2.28692e-07 2.17989e-07 0.835384 0.999935
2.77489e-05 0 6.44349e-05 2.28878e-07 2.179e-07 0.836678 0.999935
2.97838e-05 0 6.80569e-05 2.29064e-07 2.17813e-07 0.837964 0.999936
3.19329e-05 0 7.18669e-05 2.29251e-07 2.17727e-07 0.839243 0.999936
3.42022e-05 0 7.58736e-05 2.2944e-07 2.17642e-07 0.840513 0.999936
3.65979e-05 0 8.00863e-05 2.29629e-07 2.17558e-07 0.841775 0.999937
3.91265e-05 0 8.45147e-05 2.29819e-07 2.17475e-07 0.843029 0.999937
4.17946e-05 0 8.91688e-05 2.3001e-07 2.17393e-07 0.844275 0.999938
4.46095e-05 0 9.40591e-05 2.30202e-07 2.17313e-07 0.845513 0.999938
4.75785e-05 0 9.91964e-05 2.30394e-07 2.17233e-07 0.846743 0.999938
5.07093e-05 0 0.000104592 2.30588e-07 2.17154e-07 0.847966 0.999939
5.40101e-05 0 0.000110258 2.30782e-07 2.17077e-07 0.84918 0.999939
5.74894e-05 0 0.000116206 2.30977e-07 2.17e-07 0.850387 0.99994
6.11559e-05 0 0.000122449 2.31173e-07 2.16925e-07 0.851586 0.99994
6.5019e-05 0 0.000129001 2.3137e-07 2.1685e-07 0.852777 0.99994
6.90883e-05 0 0.000135874 2.31568e-07 2.16777e-07 0.85396 0.999941
7.33739e-05 0 0.000143085 2.31767e-07 2.16704e-07 0.855135 0.999941
7.78863e-05 0 0.000150646 2.31966e-07 2.16633e-07 0.856303 0.999941
8.26366e-05 0 0.000158575 2.32167e-07 2.16562e-07 0.857462 0.999942
8.76362e-05 0 0.000166886 2.32368e-07 2.16492e-07 0.858614 0.999942
9.28971e-05 0 0.000175597 2.3257e-07 2.16424e-07 0.859759 0.999942
9.84318e-05 0 0.000184724 2.32773e-07 2.16356e-07 0.860895 0.999943
0.000104253 0 0.000194287 2.32977e-07 2.16289e-07 0.862024 0.999943
0.000110376 0 0.000204303 2.33181e-07 2.16224e-07 0.863146 0.999943
0.000116812 0 0.000214793 2.33387e-07 2.16159e-07 0.864259 0.999944
0.000123579 0 0.000225775 2.33593e-07 2.16095e-07 0.865366 0.999944
0.00013069 0 0.000237271 2.338e-07 2.16032e-07 0.866464 0.999944
0.000138162 0 0.000249302 2.34008e-07 2.1597e-07 0.867555 0.999945
0.000146011 0 0.000261891 2.34216e-07 2.15908e-07 0.868639 0.999945
0.000154256 0 0.000275062 2.34426e-07 2.15848e-07 0.869715 0.999945
0.000162914 0 0.000288838 2.34636e-07 2.15789e-07 0.870783 0.999946
0.000172005 0 0.000303243 2.34847e-07 2.1573e-07 0.871845 0.999946
0.000181547 0 0.000318305 2.35059e-07 2.15672e-07 0.872898 0.999946
0.000191561 0 0.000334049 2.35272e-07 2.15616e-07 0.873945 0.999947
0.000202069 0 0.000350504 2.35485e-07 2.1556e-07 0.874984 0.999947
0.000213093 0 0.000367697 2.35699e-07 2.15504e-07 0.876015 0.999947
0.000224656 0 0.00038566 2.35914e-07 2.1545e-07 0.87704 0.999948
0.000236781 0 0.000404422 2.3613e-07 2.15397e-07 0.878057 0.999948
0.000249495 0 0.000424015 2.36347e-07 2.15344e-07 0.879067 0.999948
0.000262822 0 0.000444472 2.36564e-07 2.15292e-07 0.880069 0.999948
0.000276789 0 0.000465827 2.36782e-07 2.15241e-07 0.881065 0.999949
0.000291426 0 0.000488116 2.37001e-07 2.15191e-07 0.882053 0.999949
0.00030676 0 0.000511373 2.37221e-07 2.15142e-07 0.883034 0.999949
0.000322822 0 0.000535639 2.37441e-07 2.15093e-07 0.884008 0.99995
0.000339643 0 0.000560949 2.37663e-07 2.15045e-07 0.884975 0.99995
0.000357257 0 0.000587346 2.37885e-07 2.14998e-07 0.885935 0.99995
0.000375695 0 0.000614871 2.38107e-07 2.14952e-07 0.886888 0.99995
0.000394995 0 0.000643565 2.38331e-07 2.14906e-07 0.887834 0.999951
0.000415192 0 0.000673474 2.38555e-07 2.14862e-07 0.888774 0.999951
0.000436324 0 0.000704643 2.3878e-07 2.14818e-07 0.889706 0.999951
0.000458431 0 0.000737118 2.39006e-07 2.14774e-07 0.890631 0.999951
0.000481552 0 0.000770949 2.39233e-07 2.14732e-07 0.89155 0.999952
0.000505731 0 0.000806186 2.3946e-07 2.1469e-07 0.892461 0.999952
0.00053101 0 0.00084288 2.39688e-07 2.14649e-07 0.893366 0.999952
0.000557435 0 0.000881084 2.39917e-07 2.14608e-07 0.894264 0.999953
0.000585053 0 0.000920854 2.40146e-07 2.14569e-07 0.895156 0.999953
0.000613914 0 0.000962246 2.40377e-07 2.1453e-07 0.896041 0.999953
0.000644066 0 0.00100532 2.40608e-07 2.14491e-07 0.896919 0.999953
0.000675563 0 0.00105013 2.40839e-07 2.14454e-07 0.897791 0.999954
0.000708458 0 0.00109675 2.41072e-07 2.14416e-07 0.898656 0.999954
0.000742808 0 0.00114523 2.41305e-07 2.1438e-07 0.899514 0.999954
0.00077867 0 0.00119565 2.41539e-07 2.14344e-07 0.900366 0.999954
0.000816104 0 0.00124806 2.41774e-07 2.14309e-07 0.901212 0.999955
0.000855173 0 0.00130255 2.42009e-07 2.14275e-07 0.902051 0.999955
0.000895941 0 0.00135917 2.42245e-07 2.14241e-07 0.902883 0.999955
0.000938474 0 0.00141802 2.42482e-07 2.14208e-07 0.90371 0.999955
0.000982842 0 0.00147915 2.4272e-07 2.14175e-07 0.90453 0.999955
0.00102911 0 0.00154265 2.42958e-07 2.14143e-07 0.905343 0.999956
0.00107736 0 0.00160861 2.43197e-07 2.14112e-07 0.906151 0.999956
0.00112767 0 0.0016771 2.43437e-07 2.14081e-07 0.906952 0.999956
0.00118011 0 0.00174821 2.43677e-07 2.14051e-07 0.907747 0.999956
0.00123476 0 0.00182202 2.43918e-07 2.14022e-07 0.908536 0.999957
0.00129171 0 0.00189863 2.4416e-07 2.13993e-07 0.909319 0.999957
0.00135105 0 0.00197813 2.44403e-07 2.13964e-07 0.910095 0.999957
0.00141286 0 0.00206061 2.44646e-07 2.13936e-07 0.910866 0.999957
0.00147724 0 0.00214618 2.4489e-07 2.13909e-07 0.91163 0.999957
0.00154428 0 0.00223492 2.45135e-07 2.13882e-07 0.912389 0.999958
0.00161408 0 0.00232696 2.4538e-07 2.13856e-07 0.913142 0.999958
0.00168675 0 0.00242238 2.45626e-07 2.1383e-07 0.913889 0.999958
0.00176238 0 0.00252131 2.45873e-07 2.13805e-07 0.914629 0.999958
0.00184109 0 0.00262384 2.46121e-07 2.1378e-07 0.915365 0.999959
