Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
628.289 0 0.000101681 0.998062 2.19202e-06 0.00739618 0.00161949
628.259 0 0.000101645 0.998047 2.23803e-06 0.00729934 0.00162565
628.229 0 0.000101609 0.998031 2.28495e-06 0.00720385 0.00163182
628.199 0 0.000101574 0.998016 2.33278e-06 0.00710967 0.00163802
628.169 0 0.000101538 0.998001 2.38154e-06 0.0070168 0.00164423
628.139 0 0.000101502 0.997985 2.43126e-06 0.00692521 0.00165047
628.109 0 0.000101466 0.997969 2.48194e-06 0.00683489 0.00165672
628.079 0 0.000101431 0.997954 2.53361e-06 0.00674581 0.001663
628.049 0 0.000101395 0.997938 2.58627e-06 0.00665796 0.00166929
628.019 0 0.000101359 0.997922 2.63996e-06 0.00657133 0.00167561
627.989 0 0.000101324 0.997906 2.69468e-06 0.00648589 0.00168194
627.959 0 0.000101288 0.997889 2.75047e-06 0.00640162 0.0016883
627.929 0 0.000101253 0.997873 2.80732e-06 0.00631852 0.00169467
627.899 0 0.000101217 0.997857 2.86527e-06 0.00623656 0.00170107
627.869 0 0.000101182 0.99784 2.92434e-06 0.00615572 0.00170749
627.84 0 0.000101146 0.997823 2.98453e-06 0.006076 0.00171392
627.81 0 0.000101111 0.997807 3.04588e-06 0.00599737 0.00172038
627.78 0 0.000101075 0.99779 3.10841e-06 0.00591982 0.00172686
627.75 0 0.00010104 0.997773 3.17213e-06 0.00584334 0.00173336
627.72 0 0.000101005 0.997756 3.23706e-06 0.0057679 0.00173988
627.69 0 0.000100969 0.997738 3.30323e-06 0.0056935 0.00174642
627.66 0 0.000100934 0.997721 3.37065e-06 0.00562011 0.00175298
627.63 0 0.000100899 0.997703 3.43936e-06 0.00554773 0.00175956
627.6 0 0.000100864 0.997686 3.50937e-06 0.00547634 0.00176616
627.57 0 0.000100828 0.997668 3.5807e-06 0.00540593 0.00177279
627.54 0 0.000100793 0.99765 3.65338e-06 0.00533647 0.00177943
627.51 0 0.000100758 0.997632 3.72744e-06 0.00526797 0.0017861
627.48 0 0.000100723 0.997614 3.80288e-06 0.0052004 0.00179278
627.451 0 0.000100688 0.997596 3.87975e-06 0.00513375 0.00179949
627.421 0 0.000100653 0.997578 3.95806e-06 0.005068 0.00180622
627.391 0 0.000100618 0.997559 4.03784e-06 0.00500316 0.00181296
627.361 0 0.000100583 0.99754 4.11911e-06 0.00493919 0.00181973
627.331 0 0.000100548 0.997522 4.2019e-06 0.0048761 0.00182653
627.301 0 0.000100513 0.997503 4.28623e-06 0.00481386 0.00183334
627.271 0 0.000100478 0.997484 4.37214e-06 0.00475247 0.00184017
627.241 0 0.000100443 0.997465 4.45965e-06 0.00469191 0.00184703
627.211 0 0.000100408 0.997445 4.54878e-06 0.00463217 0.0018539
627.181 0 0.000100373 0.997426 4.63956e-06 0.00457324 0.0018608
627.151 0 0.000100338 0.997407 4.73203e-06 0.00451511 0.00186772
627.121 0 0.000100304 0.997387 4.8262e-06 0.00445776 0.00187466
