Position Sensor Motor1 Motor2 Inter1 Inter2 Inter3
# Phase 1
0.0258884 0 0.00876617 0.00434699 8.22887e-07 0.270179 0.999995
0.0260173 0 0.00868679 0.00439079 8.20332e-07 0.269845 0.999995
0.0261425 0 0.00860817 0.00443496 8.17787e-07 0.269511 0.999995
0.026264 0 0.0085303 0.00447952 8.15252e-07 0.269178 0.999995
0.0263819 0 0.00845318 0.00452445 8.12726e-07 0.268845 0.999995
0.0264961 0 0.00837679 0.00456978 8.10209e-07 0.268512 0.999995
0.0266067 0 0.00830114 0.00461548 8.07702e-07 0.268179 0.999995
0.0267136 0 0.00822621 0.00466158 8.05205e-07 0.267847 0.999995
0.0268169 0 0.008152 0.00470807 8.02717e-07 0.267514 0.999995
0.0269166 0 0.00807849 0.00475496 8.00238e-07 0.267182 0.999995
0.0270128 0 0.00800569 0.00480224 7.97768e-07 0.26685 0.999995
0.0271053 0 0.00793359 0.00484993 7.95308e-07 0.266517 0.999995
0.0271942 0 0.00786217 0.00489801 7.92857e-07 0.266186 0.999995
0.0272795 0 0.00779144 0.0049465 7.90415e-07 0.265854 0.999995
0.0273613 0 0.00772138 0.0049954 7.87982e-07 0.265522 0.999995
0.0274395 0 0.00765199 0.00504471 7.85558e-07 0.265191 0.999995
0.0275142 0 0.00758326 0.00509443 7.83143e-07 0.26486 0.999995
0.0275853 0 0.00751518 0.00514457 7.80737e-07 0.264529 0.999995
0.0276529 0 0.00744775 0.00519513 7.78341e-07 0.264198 0.999995
0.0277169 0 0.00738097 0.00524611 7.75953e-07 0.263867 0.999995
0.0277775 0 0.00731482 0.00529752 7.73574e-07 0.263536 0.999995
0.0278345 0 0.0072493 0.00534935 7.71204e-07 0.263206 0.999995
0.0278879 0 0.0071844 0.00540161 7.68843e-07 0.262876 0.999995
0.0279379 0 0.00712012 0.0054543 7.6649e-07 0.262545 0.999995
0.0279844 0 0.00705646 0.00550743 7.64147e-07 0.262215 0.999995
0.0280274 0 0.00699339 0.00556099 7.61812e-07 0.261886 0.999995
0.0280668 0 0.00693093 0.005615 7.59486e-07 0.261556 0.999995
0.0281028 0 0.00686906 0.00566945 7.57168e-07 0.261227 0.999995
0.0281353 0 0.00680777 0.00572434 7.54859e-07 0.260897 0.999995
0.0281643 0 0.00674707 0.00577969 7.52559e-07 0.260568 0.999995
0.0281899 0 0.00668694 0.00583548 7.50267e-07 0.260239 0.999995
0.028212 0 0.00662738 0.00589174 7.47984e-07 0.259911 0.999995
